Product Name,Product Link,Shop Name,Shop Link,Price,Est. Sales,Est. Revenue,Growth Rate,Est. Total Sales,Total Reviews,Listing Age,Total Favorites,Avg. Reviews,Total Views,Category,Shop Age,Visibility Score,Conversion Rate,Total Shop Sales,Tags,Tag 1,Tag 2,Tag 3,Tag 4,Tag 5,Tag 6,Tag 7,Tag 8,Tag 9,Tag 10,Tag 11,Tag 12,Tag 13
"Winnie the Pooh Baby Shower Bundle. Edit Vintage Pooh Bear Party Decorations. Printable Custom Baby Shower Signs, Games, Invites, Decor. N1",https://www.etsy.com/listing/1390138473/winnie-the-pooh-baby-shower-bundle-edit,BigDayOut,https://www.etsy.com/shop/BigDayOut,69.92,72,5034,0,5381,453,42 Mo.,9001,11,342878,Paper & Party Supplies,46,100,1.57,57321,"winnie the pooh baby,baby shower bundle,shower decorations,invitation girl,gender neutral baby,classic winnie boy,vintage pooh bear,shower games bundle,baby shower signs,shower welcome sign,editable template,digital download,printable decor",winnie the pooh baby,baby shower bundle,shower decorations,invitation girl,gender neutral baby,classic winnie boy,vintage pooh bear,shower games bundle,baby shower signs,shower welcome sign,editable template,digital download,printable decor
"Locally Grown Baby Shower Bundle, Farmers Market Baby Shower Bundle, Locally Grown Baby Shower Games, Locally Grown Baby Shower Invitation",https://www.etsy.com/listing/4353617089/locally-grown-baby-shower-bundle-farmers,BubbaBloomPrints,https://www.etsy.com/shop/BubbaBloomPrints,46.13,74,3414,600,414,34,11 Mo.,607,3,19829,Paper & Party Supplies,12,100,2.09,3292,"locally grown,locally grown baby,locally grown shower,locally grown bundle,farmers market baby,farmers market,baby shower games,baby shower invite,printable bundle,locally grown invite,editable invite,canva template,garden baby shower",locally grown,locally grown baby,locally grown shower,locally grown bundle,farmers market baby,farmers market,baby shower games,baby shower invite,printable bundle,locally grown invite,editable invite,canva template,garden baby shower
Winnie Pooh Baby Shower Invitation Website with RSVP | Boy Baby Shower | Baby Shower Invitation Theme | Digital Download | Bear Baby shower,https://www.etsy.com/listing/4490918641/winnie-pooh-baby-shower-invitation,JoyvaStudio,https://www.etsy.com/shop/JoyvaStudio,25.70,132,3392,200,297,28,3 Mo.,254,9,11013,Paper & Party Supplies,13,100,2.7,5910,"pooh baby shower,balloon bear shower,clickable rsvp,winnie pooh invite,winnie pooh invites,pooh bear invitation,winnie invitations,pooh evite,winnie pooh canva,winnie pooh bundle,winnie-the-shower,boy baby shower,blue baby shower",pooh baby shower,balloon bear shower,clickable rsvp,winnie pooh invite,winnie pooh invites,pooh bear invitation,winnie invitations,pooh evite,winnie pooh canva,winnie pooh bundle,winnie-the-shower,boy baby shower,blue baby shower
"Teddy Bear Nursery: Baby Mobile, Woodland Baby Shower, Expecting Mom Gift",https://www.etsy.com/listing/4408928333/teddy-bear-nursery-baby-mobile-woodland,BabyBelora,https://www.etsy.com/shop/BabyBelora,170.19,15,2553,0,34,11,9 Mo.,430,1,7658,Home & Living,10,100,0.44,93,"baby mobile,crib mobile,hanging mobile,felt animals,expecting mom gift,baby shower invite,bear mobile,new mom gift,woodland baby shower,woodland nursery,teddy bear nursery,newborn gift,baby boy nursery",baby mobile,crib mobile,hanging mobile,felt animals,expecting mom gift,baby shower invite,bear mobile,new mom gift,woodland baby shower,woodland nursery,teddy bear nursery,newborn gift,baby boy nursery
"Classic Winnie-the-Pooh Baby Shower Bundle, Winnie Pooh Gender Neutral Baby Shower, Little Honey, Floral, Spring, Wildflower",https://www.etsy.com/listing/1861168948/classic-winnie-the-pooh-baby-shower,AestheticGirlyy,https://www.etsy.com/shop/AestheticGirlyy,29.99,84,2519,200,1542,131,17 Mo.,1977,8,66606,Paper & Party Supplies,35,100,2.32,73047,"boho baby shower set,winnie pooh invite,baby shower bundle,pooh baby shower set,classic winnie pooh,winnie pooh sign,hunny baby shower,baby shower set,classic winnie,gender neutral baby,floral baby shower",boho baby shower set,winnie pooh invite,baby shower bundle,pooh baby shower set,classic winnie pooh,winnie pooh sign,hunny baby shower,baby shower set,classic winnie,gender neutral baby,floral baby shower,--,--
"Little Wildflower Baby Shower Bundle, Spring Wildflower Baby Shower,Baby Shower Decorations, Dress Wildflower Invite, Canva Templates",https://www.etsy.com/listing/4435419772/little-wildflower-baby-shower-bundle,CherryLittleDesignCo,https://www.etsy.com/shop/CherryLittleDesignCo,50.00,50,2500,300,202,17,6 Mo.,221,3,7656,Paper & Party Supplies,84,100,2.64,62843,"shower decorations,baby girl shower,wildflower dress,a little wildflower,is on the way,wildflower baby show,dress wildflower,spring baby shower,wildflower baby,girl baby shower,clothes line,wildflower invite,baby in bloom",shower decorations,baby girl shower,wildflower dress,a little wildflower,is on the way,wildflower baby show,dress wildflower,spring baby shower,wildflower baby,girl baby shower,clothes line,wildflower invite,baby in bloom
Winnie Pooh Baby Shower Invitation Website with RSVP | Girl Baby Shower | Baby Shower Invitation Theme | Digital Download | Bear Baby shower,https://www.etsy.com/listing/4492463607/winnie-pooh-baby-shower-invitation,JoyvaStudio,https://www.etsy.com/shop/JoyvaStudio,25.70,96,2467,-50,191,18,3 Mo.,219,6,8143,Paper & Party Supplies,13,100,2.35,5910,"pooh baby shower,balloon bear shower,clickable rsvp,winnie pooh invite,winnie pooh invites,pooh bear invitation,winnie invitations,pooh evite,winnie pooh canva,winnie pooh bundle,winnie-the-shower,girl baby shower,pink baby bear",pooh baby shower,balloon bear shower,clickable rsvp,winnie pooh invite,winnie pooh invites,pooh bear invitation,winnie invitations,pooh evite,winnie pooh canva,winnie pooh bundle,winnie-the-shower,girl baby shower,pink baby bear
"Winnie Pooh Balloon Bear Baby Shower Invitation Trackable RSVP Website, Editable Classic Pooh Canva Web Invite",https://www.etsy.com/listing/4457104890/winnie-pooh-balloon-bear-baby-shower,BestCelebrations,https://www.etsy.com/shop/BestCelebrations,21.04,104,2188,-33,319,27,5 Mo.,557,5,15171,Paper & Party Supplies,117,100,2.1,199467,"online rsvp page,pooh baby shower,balloon bear shower,clickable rsvp,winnie pooh invite,winnie pooh invites,pooh bear invitation,winnie invitations,pooh evite,winnie pooh canva,winnie pooh bundle,winnie-the-shower,trackable rsvp page",online rsvp page,pooh baby shower,balloon bear shower,clickable rsvp,winnie pooh invite,winnie pooh invites,pooh bear invitation,winnie invitations,pooh evite,winnie pooh canva,winnie pooh bundle,winnie-the-shower,trackable rsvp page
Winnie Pooh Baby Shower Invitation Website with RSVP | Baby Shower | Baby Shower Invitation Theme | Digital Download | Bear Baby shower,https://www.etsy.com/listing/4499890858/winnie-pooh-baby-shower-invitation,DreamyLoly,https://www.etsy.com/shop/DreamyLoly,25.00,84,2100,200,144,12,2 Mo.,159,6,5719,Paper & Party Supplies,11,100,2.52,1786,"pooh baby shower,balloon bear shower,clickable rsvp,winnie pooh invite,winnie pooh invites,pooh bear invitation,winnie invitations,pooh evite,winnie pooh canva,winnie pooh bundle,winnie-the-shower,boy baby shower,blue baby shower",pooh baby shower,balloon bear shower,clickable rsvp,winnie pooh invite,winnie pooh invites,pooh bear invitation,winnie invitations,pooh evite,winnie pooh canva,winnie pooh bundle,winnie-the-shower,boy baby shower,blue baby shower
"A New Chapter Begins Baby Shower Bundle, Storybook Baby Shower Invitation, Book Themed Baby Shower Decor and Games, New Tale, Canva Template",https://www.etsy.com/listing/4452317695/a-new-chapter-begins-baby-shower-bundle,RareMomentDesigns,https://www.etsy.com/shop/RareMomentDesigns,67.44,30,2023,-100,75,8,5 Mo.,85,2,2400,Paper & Party Supplies,51,100,3.13,39091,"a new chapter begins,baby shower bundle,storybook baby,shower invitation,book baby shower,invitation template,book shower bundle,baby shower decor,baby shower games,chapter baby shower,girl pink floral set,storybook invitation,spring april rmd096",a new chapter begins,baby shower bundle,storybook baby,shower invitation,book baby shower,invitation template,book shower bundle,baby shower decor,baby shower games,chapter baby shower,girl pink floral set,storybook invitation,spring april rmd096
